"Artists","Total_Songs","Songs_Played"
"Jack Name",1,1
"Jackie Hayes",3,0
"Jackie Hayes & Billy Lemos",3,0
"Jackie Hayes & Boyish",1,0
"Jackie Hayes & sophie meiers",1,0
"Jackie West",4,0
"Jacuzzi Boys",4,0
"Jagged Baptist Club",1,1
"Jake Xerxes Fussell",2,0
"Jana Horn",4,0
"Jane Inc.",1,0
"Jared Jackel's Bad Vibrations",4,4
"Jason Collett",19,2
"Jeanines",2,0
"Jeff Clarke",2,0
"Jeff Tobias",2,0
"Jeffertitti's Nile",1,0
"Jeffrey Alexander and the Heavy Lidders",2,1
"Jennifer Castle",9,2
"Jenny Hval",2,0
"jerm",3,0
"Jesse Welles",7,0
"Jessica Pratt",4,0
"Jessica Risker",1,0
"Jimmie Kilpatrick",2,0
"Joe Ghatt",8,1
"jog",4,2
"John Andrews & The Yawns",9,2
"The John Denver Airport Conspiracy",8,4
"John Jeffrey",1,1
"Johnny & The Limelites",1,0
"The JoJos & Joanna Teters",1,0
"Jon McKiel",6,4
"Jonah Yano",2,0
"Jonathan Rado",4,0
"Jonathan Wilson",2,1
"Jorge Elbrecht",1,0
"Josienne Clarke",3,0
"Jovian Tea",2,0
"JP Lancaster",1,0
"Juleah",3,1
"Julianna Riolino",10,4
"Julianna Riolino & Adrian Underhill",1,1
"Julie Doiron",7,2
"Julie Odell",2,0
"Junip",1,0
"Junk Drawer",7,2
"Just Mustard",2,1
"Kacy & Clayton",4,1
"Kacy & Clayton & Marlon Williams",1,1
"Kairos Creature Club",5,2
"Kali Horse",4,3
"Kalle Mattson",2,0
"Karl Blau",2,0
"Kate Bollinger",4,0
"Kate Maki",9,4
"Katie Von Schleicher",5,0
"Katy Kirby",1,0
"Kelley Stoltz",17,1
"Kevin Morby",15,1
"Khruangbin",10,0
"Kikagaku Moyo",5,0
"Kindsight",1,0
"King Cuddy",1,1
"King Gizzard & The Lizard Wizard",37,6
"King Hannah",7,3
"The King Khan & BBQ Show",2,1
"King Tuff",13,2
"Kiwi jr.",5,1
"knitting",8,4
"Koleżanka",2,1
"Kosta G",1,0
"Kristine Leschper",1,0
"Kurt Vile",2,0
"Kylie V",2,0
"L.T.Leif",2,2
"La Luz",18,2
"La Luz & Adrian Younge",1,0
"La Sécurité",5,4
"La Sera",6,2
"Lady Lamb",3,1
"Lael Neale",4,2
"Lake Street Dive",1,0
"Lambrini Girls",3,3
"Lammping",6,4
"Lammping & Bloodshot Bill",3,0
"Lamplight",3,0
"Langkamer",2,0
"Las Rosas",7,3
"Late Slip",1,0
"Laughing",1,0
"The Laughing Chimes",2,0
"Laura Stevenson",3,0
"Lauren Mann and the Fairly Odd Folk",4,0
"The Lazy Eyes",3,1
"Leon Bridges",8,0
"Les Big Byrd",2,1
"levitation room",28,5
"Lia Ices",14,1
"Liam Kazar",2,0
"Lifeguard",6,1
"Lightheaded",4,0
"Lightning Bug",6,1
"Lightning Dust",7,3
"Lily Seabird",3,0
"The Limiñanas",1,1
"Lionlimb",2,1
"Lionlimb & Angel Olsen",1,0
"Lithics",2,2
"Living Dream",2,0
"Living Hour",6,1
"Living Hour & The Ophelias",1,0
"Liz Cooper",6,1
"Lomelda & More Eaze",1,1
"Long Fling",2,0
"Lord Huron",16,0
"Lord Huron & Allison Ponthier",1,0
"Los Palms",10,3
"Lotus Plaza",3,2
"The Lounge Society",2,2
"The Love Language",1,0
"Love Machine",2,0
"The Lovely Eggs",3,1
"Loving",9,4
"Lucy's Seduction",2,0
"Luke Temple",8,1
"Lutalo",5,0
"M. Ward",12,1
"The Macks",2,0
"The Mad Walls",11,2
"Magic AL",1,0
"Magic AL & Lou Hazel",1,0
"Magic Fig",3,0
"Magic Potion",1,0
"Magic Trick",1,0
"Maia Friedman",3,0
"MAITA",4,0
"MALL WALK",5,0
"The Mallard",1,0
"Mama Zu",4,0
"Mamalarky",1,0
"Mammal Hands",1,0
"Man Man",8,0
"Man/Woman/Chainsaw",3,0
"Mapache",5,2
"Marcel Wave",2,0
"Marcoca",2,0
"Marcoca & Nice Guys",2,0
"Marina Allen",7,3
"Marlaena Moore",5,2
"Marseille",2,0
"Maruja",6,3
"Master Musicians Of Bukkake",1,0
"Matt Costa",1,1
"Matt Sweeney & Bonnie ""Prince"" Billy",1,0
"The Mauskovic Dance Band",2,0
"Maxband",1,0
"Maxband & A Beacon School",1,0
"Meagre Martin",5,0
"Meatbodies",6,1
"media puzzle",1,0
"Megan Nash",3,0
"meija",1,0
"meija & Hand Habits",1,0
"meija & JAWNY",1,0
"Melody's Echo Chamber",10,1
"Melody's Echo Chamber & El Michels Affair",1,1
"Melts",3,1
"MEMORIALS",1,0
"Memoryhouse",2,2
"Merce Lemon",3,1
"Michael Nau",11,1
"Michael Rault",13,5
"Midday Veil",1,0
"Middle Brother",1,0
"Midlake",2,0
"Midnight Rodeo",6,1
"Midnight Sister",6,1
"Mikal Cronin",5,1
"Mild High Club",2,0
"The Milk Carton Kids",7,0
"Milk Lines",4,4
"Minami Deutsch",4,3
"Minor Moon",2,0
"Miranda and the Beat",2,2
"Misha Panfilov Sound Combo",1,0
"Mister Heavenly",8,1
"Misty Lanes",3,2
"MJ Lenderman",6,0
"MJ Meehan",2,1
"Mmoss",5,1
"Mock Media",6,4
"Modern Nature",4,0
"The Molochs",4,0
"Monde UFO",6,1
"Monsters Of Folk",1,0
"Moon Duo",3,3
"Moon Panda",7,1
"The Moonlight Years",4,3
"Moonwalks",1,1
"Moreish Idols",4,2
"Mother Sun",10,7
"Mother Tongues",4,4
"Motherfuckers JMB & Co",1,1
"Motherhood",5,3
"Motorists",7,3
"Motrik",3,0
"MOVIELAND",2,0
"Mr. Elevator",3,2
"Mt. Misery",1,0
"Mug",1,0
"MULCH",1,1
"The Murlocs",15,2
"Muzz",6,1
"my favorite boxer",1,0
"My Morning Jacket",18,0
"The Mynabirds",16,1
"The Mystery Lights",18,5
"Naima Bock",1,1
"Nancy",4,1
"Nancy & The Mysterious Visions",1,1
"Nap Eyes",9,2
"The National",11,0
"Native Sun",1,0
"Natural Child",3,0
"NE-HI",2,0
"Necking",3,3
"Never Plenty",6,4
"New Fries",6,2
"NewDad",7,2
"Nice Biscuit",5,2
"Nick Faye",4,1
"Nick Hakim",1,0
"Nick Hakim & Roy Nathanson",1,0
"Nick Waterhouse",40,1
"Nico Paulo",3,2
"Night Beats",33,7
"Night Beds",2,0
"Night Lunch",4,3
"Night Moves",7,0
"Night Shop",6,0
"Nightshades",5,0
"Nikolas L. B.",2,0
"Nina Ryser",2,1
"Nixon Boyd",2,1
"No Age",2,0
